,text,lang,place_lat,place_lon,place_type,country,in_reply_to_user_id_str,user_id_str,followers_count,verified,pronoun,created_at,location,description,ngram
119,tomate un tiempo todos los días para agradecer por todo lo que tienes tú puedes siempre tener más pero también podrías tener menos,es,9.120750001000001,-74.56112399999999,city,Colombia,,176615039,213,False,tu,Tue Jul 21 20:42:53 +0000 2015,MOMPOX- COLOMBIA,21.El día que mi mamá muera todos serán inferiores.De pueblo pero no de cualquiera. Estudio Lenguas Extranjeras en la acreditada @uni_cartagena. ROAD TO RICHES.,"('todo', 'lo', 'que')"
154,todo lo que siento es especial cuando estoy contigo tu mirada me hace sospechar que soy mas que tu amigo,es,6.1780955010000005,-75.3280145,city,Colombia,,355198723,716,False,tu,Tue Jul 21 21:02:10 +0000 2015,"Medellín, Antioquia",PDC,"('todo', 'lo', 'que')"
160,y aquel jodido miedo que arrebata todo lo que anhelo contigo,es,3.3641819969999998,-76.49608,city,Colombia,,340690961,284,False,tu,Tue Jul 21 21:04:58 +0000 2015,Santiago de cali,insta:_linamd              Deporvida<U+2665>,"('todo', 'lo', 'que')"
272,recordaré todo lo que viví extrañaré el verte sonreír de ti mucho quedó fortaleza nos dió aprendí a conocer la risa y el dolor u266a,es,4.812912999,-75.73750600000001,city,Colombia,,350974615,1919,False,tu,Tue Jul 21 19:21:04 +0000 2015,,<U+26BD> AMÉRICA DE COLOMBIA <U+26BD>,"('todo', 'lo', 'que')"
327,vistes mis errores pero no viste todo lo que luché por ti,es,8.795234998,-74.735596,city,Colombia,,3208969474,202,False,tu,Wed Jul 22 19:27:30 +0000 2015,"Sincelejo, Sucre",DE LA MANO DE DIOS.,"('todo', 'lo', 'que')"
400,hace tiempo que olvide todo lo que pudo ser yo sin ti volvi a nacer,es,4.262283503,-74.24367099999999,city,Colombia,,805704667,697,False,tu,Wed Jul 22 20:03:04 +0000 2015,"Bogota ,Colombia",de mi futuro eres el guardador. el amor es la fuerza que sostiene al planeta       Universidad el Bosque!,"('todo', 'lo', 'que')"
577,#niallappreciationday gracias por todo lo que has hecho me siento definitivamente orgullosa de ti y de que seas mi debilidad @niallofficial,es,8.822113996,-75.621871,city,Colombia,,2372367847,310,False,tu,Wed Jul 22 18:55:11 +0000 2015,Colombia ,"I'm Directioner i Love One direction :D <U+2665><U+2665><U+2665> Niall, Liam, Louis and Harry los amo chicos <U+2665><U+2665>.Los seguire apoyando pase lo que pase. #DirectionerForever","('todo', 'lo', 'que')"
611,todo lo que siento tú ya lo sabes eres mía amor,es,6.174511496,-75.6365725,city,Colombia,,2699906154,201,False,tu,Wed Jul 22 00:07:39 +0000 2015,,<U+2661><U+2661><U+2661>,"('todo', 'lo', 'que')"
696,que trague la tierra mi cabeza mientras recuperó la dignidad y todo lo que perdí por ti,es,4.262283503,-74.24367099999999,city,Colombia,,1006470559,316,False,tu,Wed Jul 22 12:22:12 +0000 2015,Colombia,Roberto Mtz *-*,"('todo', 'lo', 'que')"
709,me enamore de ti de todo lo que hay en ti,es,4.448673,-75.3155775,city,Colombia,,551317731,667,False,tu,Wed Jul 22 12:37:30 +0000 2015,<U+2708>Colombia/Tolima/Ibague<U+2665>,"#JS01RM
Wpp: +57 3103277216","('todo', 'lo', 'que')"
750,que tengo un mar de sueños para realizarlos contigoque todo lo que quiero solo tu lo tienes,es,4.262283503,-74.24367099999999,city,Colombia,,610512577,702,False,tu,Tue Jul 21 23:21:20 +0000 2015,,Dios y Madre<U+2764>|Real Madrid C.F<U+26BD><U+FE0F><U+2665>| C kan<U+2665>|Jowel y randy<U+2764>|Romeo Santos<U+2764>|,"('todo', 'lo', 'que')"
776,ya te iras dando cuenta que todo lo que yo hacía por ti no lo hacía nadie más,es,10.889511,-74.782175,city,Colombia,,408975325,288,False,tu,Tue Jul 21 23:32:53 +0000 2015,,"Para ser feliz no necesitas de nadie mas que no seas tu mismo. Futura pediatra, God is love  Winndy Agamez","('todo', 'lo', 'que')"
945,si todo lo que tengo todito es para ti daría toda mi vida por estar junto a ti,es,3.5704285039999997,-76.3486225,city,Colombia,,194292614,241,False,tu,Thu Jul 23 18:38:24 +0000 2015,,¡FUTURA FISIOTERAPEUTA DEPORTIVA! Sonríe que el fútbol es para siempre <U+26BD><U+FE0F>,"('todo', 'lo', 'que')"
1108,« todo lo que puedo ser para ti es una oscuridad que conocemos » tears dry on their own #amywinehouse,es,4.448673,-75.3155775,city,Colombia,,48186250,47738,False,tu,Thu Jul 23 20:23:37 +0000 2015,"Ibagué, Tolima","De los diversos instrumentos inventados por el hombre, el más asombroso es el libro... leer es vida http://www.facebook.com/diego.f.28","('todo', 'lo', 'que')"
1117,todo lo que soy todo lo que eh vivido ah sido el camino para estar contigo 3,es,11.4091705,-72.3124603,city,Colombia,,2764887592,24,False,tu,Thu Jul 23 20:31:32 +0000 2015,,,"('todo', 'lo', 'que')"
1471,pronto estaré contigo y tendrás mis labios para todo lo que tiemble en ti mis manos como yo ya te extrañan mucho,es,4.262283503,-74.24367099999999,city,Colombia,,199008417,109,False,tu,Fri Jul 24 20:51:41 +0000 2015,bogota,Si me dices ven lo dejo todo pero dime ven (mira la suerte que has tenido),"('todo', 'lo', 'que')"
1834,todo lo que puedo sentir es pena ajena por ti,es,10.95807288,-74.849933,city,Colombia,,306379489,291,False,tu,Sat Jul 25 18:15:04 +0000 2015,Colombia,| Melomaniac |,"('todo', 'lo', 'que')"
1882,que tenga todo lo que tú quieres pero que no sea para ti es triste,es,11.07346239,-73.92732164,city,Colombia,,202472381,230,False,tu,Sat Jul 25 18:40:06 +0000 2015,Santa Marta,Estudiante de Ing. Civil Unimagdalena. <U+270C> Bendecida Por Dios y Confiada En Él Siempre.,"('todo', 'lo', 'que')"
1895,a ti te queda bien ese fronteo te luce flaquita todo lo que te pones,es,6.934080002000001,-73.0424375,city,Colombia,,1155011815,291,False,tu,Sat Jul 25 18:44:24 +0000 2015,,WhatsApp: 3046084210.,"('todo', 'lo', 'que')"
2135,todo lo que sabia de amor contigo lo desconocí,es,4.262283503,-74.24367099999999,city,Colombia,,350521836,964,False,tu,Sun Jul 26 21:51:11 +0000 2015,Colombia/ Bogota  ,"Nunca te arrepientas de nada, porque alguna vez fue justo lo que quisiste","('todo', 'lo', 'que')"
2220,y pueden decir de ti todo lo que quieran pero para mi todo en ti es perfecto,es,4.656953498,-74.2470895,city,Colombia,,93031871,585,False,tu,Sun Jul 26 01:04:43 +0000 2015,-Wonderland- ,,"('todo', 'lo', 'que')"
2323,todo mi apoyo incondicional para ti me siento feliz porque todo lo que hago es sin esperar nada a cambio @camilomusica,es,10.79352472,-73.09317137,city,Colombia,,1059040638,223,False,tu,Sun Jul 26 17:38:32 +0000 2015,Colombia,"No se porque, cada que te beso vuela el tiempo al revés, no lo se. 
Apoyando la buena Musica @CamiloMusica,#RTC #TDS #DQH //@LaudesMusic, #ElVuelo. //#SFDC","('todo', 'lo', 'que')"
