,text,lang,place_lat,place_lon,place_type,country,in_reply_to_user_id_str,user_id_str,followers_count,verified,pronoun,created_at,location,description
29,me gusta soñar me gustas tú,es,6.270882997999999,-75.619213,city,Colombia,NA,334398048,2077,False,tu,2015-07-21 19:41:53,,"Estudiante de Administración Financiera ¡Faltan árboles, sobra gente!"
731,si tu supieras como me sentía por ti,es,6.270882997999999,-75.619213,city,Colombia,NA,334398048,2077,False,tu,2015-07-21 23:13:55,,"Estudiante de Administración Financiera ¡Faltan árboles, sobra gente!"
26117,@danii0577 usted sabe que yo soy muy compartida amor,es,6.270882997999999,-75.619213,city,Colombia,3351400631,334398048,2077,False,ud,2015-07-21 23:15:03,,"Estudiante de Administración Financiera ¡Faltan árboles, sobra gente!"
5531,al final te das cuenta que los finales fueron iguales que tú y yo sólo son pronombres personales,es,6.270882997999999,-75.619213,city,Colombia,NA,334398048,2068,False,tu,2015-08-02 18:02:52,,"¡Faltan árboles, sobra gente!"
5545,mientras tenga que cambiar la radio de estación por que cada canción me hable de ti de tiiiiiiiiiu 266a,es,6.270882997999999,-75.619213,city,Colombia,NA,334398048,2068,False,tu,2015-08-02 18:07:46,,"¡Faltan árboles, sobra gente!"
5597,no esperes de mí lo que no recibo de ti,es,6.270882997999999,-75.619213,city,Colombia,NA,334398048,2067,False,tu,2015-08-02 18:36:42,,"¡Faltan árboles, sobra gente!"
6182,@mc13vc cosita linnnnd y yo a ti,es,6.174511496,-75.6365725,city,Colombia,334398048,3351400631,227,False,tu,2015-08-03 16:13:22,,
5876,@mc13vc nooo yo noo puedo vivir sin ti,es,6.174511496,-75.6365725,city,Colombia,334398048,3351400631,226,False,tu,2015-08-03 17:29:21,,
58,pensando en ti tito el bambino ft kevin roldan u266bu25bau266a,es,5.056934001,-75.560285,city,Colombia,NA,1049311202,398,False,tu,2015-07-21 20:00:43,,<U+2605><U+24C4>©<U+24C3><U+24B8><U+2605><U+24B8><U+24B6><U+24C1>©<U+24B9><U+24B6><U+24C8><U+2605>
71,me esta matando el orgullo cuando mas quiero estar al lado tuyo de solo verte concluyo que yo soy para ti y tu eres para mi u266bu25bau266a,es,5.056934001,-75.560285,city,Colombia,NA,1049311202,398,False,tu,2015-07-21 20:09:26,,<U+2605><U+24C4>©<U+24C3><U+24B8><U+2605><U+24B8><U+24B6><U+24C1>©<U+24B9><U+24B6><U+24C8><U+2605>
26064,y hoy me quedo todo el dia si usted me dice que no entre a clase y me vaya para donde usted adivine,es,5.056934001,-75.560285,city,Colombia,NA,1049311202,398,False,ud,2015-07-22 10:40:08,,<U+2605><U+24C4>©<U+24C3><U+24B8><U+2605><U+24B8><U+24B6><U+24C1>©<U+24B9><U+24B6><U+24C8><U+2605>
26489,usted debería venir hoy ah hacerme la visita pues solo digo u2764,es,5.056934001,-75.560285,city,Colombia,NA,1049311202,398,False,ud,2015-07-24 18:32:14,,<U+2605><U+24C4>©<U+24C3><U+24B8><U+2605><U+24B8><U+24B6><U+24C1>©<U+24B9><U+24B6><U+24C8><U+2605>
