,text,lang,place_lat,place_lon,place_type,country,in_reply_to_user_id_str,user_id_str,followers_count,verified,pronoun,created_at,location,description
1,@tinistoessel mi beba hermosa mucha mucha suerte hoy un nuevo comienzo para ti en este camino,es,4.262283503,-74.24367099999999,city,Colombia,550281859.0,1618655017,1379,False,tu,Tue Jul 21 19:23:51 +0000 2015,Colombia ,"1Rt De Lodo , Samuka Me Sigue 1RT 1FV , Lucas Noacco Me Sigue , Mica Soto 8 FV Y 2 RT, Rodolfo Stoessel Me Respondió"
2,@jovenparamorir por ti me vuelvo gay,es,6.428845998,-75.34533449999999,city,Colombia,270683441.0,201515412,2784,False,tu,Tue Jul 21 19:24:07 +0000 2015,P. Sherman Calle Wallaby 42.,"|<U+264A>&<U+264B>| Dizque un estudiante ejemplar. #UdeA. EDM, mucho EDM <U+26A1>"
9,@karenpaolapt hay algo en ti que multiplica los latidos de mi pecho me domina me dan ganas de soñar te quiero bonita tu das felicidad,es,10.324450500000001,-73.463286,city,Colombia,158787193.0,88994027,1719,False,tu,Tue Jul 21 19:25:18 +0000 2015,Valledupar/Cesar,"Ger Navarro. Nació en la ciudad de Valledupar , Estudiante de Comunicación Social y periodismo. Creo en Dios en mas Nadie."
10,@casadabogota hola mi watsap es 3178209728 y podríamos cuadrar estoy por las américas con boyaca y tú,es,3.916995998,-75.33496,city,Colombia,3294022187.0,137495903,406,False,tu,Tue Jul 21 19:25:28 +0000 2015,bogota colombia ,DOTADO BUSCO MUJERES Y PAREJAS NO IMPORTA FISICO NI CONDICION SEXUAL QUE LES GUSTE EL SEXO SIN COMPLICACIONES NI COMPROMISOS CEL 3178209728 - 3219043660 SEXO
14,@lorenabecerrar bueno bebé que bien por ti me alegró felicitaciones campeona,es,4.262283503,-74.24367099999999,city,Colombia,293249013.0,300032546,787,False,tu,Tue Jul 21 19:29:42 +0000 2015,Bogota Colombia ,OneLove JAH BLEES.                                                Solo se trata de mi.
15,#felizmartes @gusimusica dios te bendiga besos para ti,es,4.262283503,-74.24367099999999,city,Colombia,,2173087741,18,False,tu,Tue Aug 04 16:10:22 +0000 2015,,NACI ÈL 14 DE ABRIL DE 1985 MI NUMERO DE CELULAR ES 3134433104 SOY ADMIRADORA FAN Y SEGUIDORA DE ANDRÈS ACOSTA <U+2665> http://gusimusica.com
20,@horoscoponegro si tomas a #capricornio como segunda o tercera opción prepárate tú para ser su última opción es así,es,3.3641819969999998,-76.49608,city,Colombia,,171240622,641,False,tu,Tue Jul 21 19:35:16 +0000 2015,,estudiante de fisioterapia IU Escuela Nacional del Deporte<U+2764><U+FE0F>       Real Madrid - América de Cali<U+2665>
22,@theworldofanahi @anahi no lo digo por ti jaaaa lo digo por otros que ahora resultan que son mis amigos,es,4.0882915,-73.4704055,city,Colombia,131466468.0,566608022,5853,False,tu,Tue Jul 21 19:35:44 +0000 2015,Colombia,"Twitter dedicado a la actriz, cantante, modelo, compositora y empresaria mexicana Anahi. ¡Anahi me dio RT el 7/05/2015 y me sigue desde el 20/07/2015!<U+2764><U+FE0F>"
27,@mariana30609860 de acuerdo contigo,es,4.262283503,-74.24367099999999,city,Colombia,1393673011.0,2177064368,320,False,tu,Tue Jul 21 19:40:57 +0000 2015,,#SoyFelizCuando Le doy mi apoyo incondicional <U+263A>   y siempre lo tendrá    #MiLocutorFavorito @BLANCO_RADIO *-* @Fanny_Lu
41,@karlamarenagil que viene jaja suerte contigo mamita jaja,es,10.95807288,-74.849933,city,Colombia,575724456.0,517073179,873,False,tu,Tue Jul 21 19:49:51 +0000 2015,,Instagram: Leslyorozco28
54,que recordar es vivir cuando yo estoy junto a ti te amo @mazomenos11 quiero abrazarte y tenerte,es,5.979706502999999,-76.684292,city,Colombia,,79479192,804,False,tu,Tue Jul 21 19:57:15 +0000 2015,Colombia-Chocó-Quibdó,Abogada En Formación... ¡La Mujer Chocoana De Gran Corazón! <U+2665>.  Doble A; así me dicen.
66,@isoykira si buscas venganza cava dos tumbas porque tus pensamientos negativos sobre otra persona también te dañan a ti,es,5.760224497,-72.9514055,city,Colombia,,2957508352,95,False,tu,Tue Jul 21 20:07:27 +0000 2015,sogamoso ,
68,@alexiguaran no amor eso sólo te pasa a ti jajaja bulto de sal,es,6.270882997999999,-75.619213,city,Colombia,85916786.0,221220693,300,False,tu,Tue Jul 21 20:07:35 +0000 2015,Medellin / Maicao,I'm engineer. That's all!
70,@lauraruedaf y tú que eres eres un diamante mi bella lau un abrazo u2764,es,7.144792999,-73.132697,city,Colombia,207500592.0,193082840,382,False,tu,Tue Jul 21 20:09:24 +0000 2015,Bucaramanga,
78,@navegue como estas soy de bogota colombia también corro soy entrenador cuentame de ti,es,4.262283503,-74.24367099999999,city,Colombia,77031400.0,2998995279,16,False,tu,Tue Jul 21 20:16:09 +0000 2015,colombia,"Entrenador Personal Pilates,Yoga,Streching,Calistemic.Especialista en Pedagogía del ENtrenamiento Deportivo.Vivo en Bogota-Colombia ,móvil 3137714296"
93,@1505camila aggme tú,es,6.270882997999999,-75.619213,city,Colombia,593189210.0,2597134730,1100,False,tu,Tue Jul 21 20:27:23 +0000 2015,"Medellin, Colombia ",
95,@sariivalek no para nada pero todo la tarde oliendo a ti,es,4.262283503,-74.24367099999999,city,Colombia,357242622.0,1649144935,142,False,tu,Tue Jul 21 20:27:38 +0000 2015,,ARQUERO *_*
97,@karomai816 yaaaa la mente pa ti ok no te amo mi negra cvg,es,4.262283503,-74.24367099999999,city,Colombia,2347799508.0,522820815,437,False,tu,Tue Jul 21 20:28:54 +0000 2015,"Barranquilla, Atlántico","Dreams Come True ~ Que Lindo Sería Comer Tierra Juntos, #228"
99,@valentinaaaa también me caes bieny yo a ti bonitaaa lt3,es,5.347185003,-74.5323055,city,Colombia,2945162710.0,1697786910,916,False,tu,Tue Jul 21 20:29:12 +0000 2015,Tintal,"SILVESTRISTA DE CORAZÓN.
¿Okay? Okay,tal vez nuestro okay es nuestro para siempre."
104,@alejandro130499 ella no tiene derecho de cogerte la cola ushh ni a ti ni a nadie sólo a mi ajjaja mentiría,es,4.262283503,-74.24367099999999,city,Colombia,1043445499.0,323537486,576,False,tu,Tue Jul 21 20:32:51 +0000 2015,,"Cali,Girardot,Bogotá    instagram: angeline_712    RM/RIVER/MILLOS    Angie Barona -  Arquitectura  y diseño de interiores 
aldeanos"
109,@krakentitan recupérate pronto mira que aún no tengo una foto contigo,es,3.5704285039999997,-76.3486225,city,Colombia,60208645.0,538767198,2220,False,tu,Tue Jul 21 20:35:30 +0000 2015,Hogwarts ,"Mamá de Motita.| Quien no conoce su historia, está condenado a repetirla... como ley.| Snapchat: soydanielallano. <U+2764>SFDC<U+2764> ?S M I L E R?"
110,me enamore pérdida mente de ti @sinpalabras,es,4.448673,-75.3155775,city,Colombia,,1363213820,1185,False,tu,Tue Jul 21 20:38:02 +0000 2015,"Tolima, Colombia",EL TRUCO ESTA EN SER MAS INTELIGENTE QUE BONITA *-*
111,@mikaamione a ti te quiero,es,4.262283503,-74.24367099999999,city,Colombia,573326603.0,2753410639,1014,False,tu,Tue Jul 21 20:38:07 +0000 2015,Colombia ,... paso a paso iré y PERSISTIRÉ a cualquier distancia YO MI SUEÑO ALCANZARÉ! <U+2665>Abrahamer&Lericana&Karol G&Todo Con Dios
114,@zaynmalik fui gay con una persona que no eres tu y contigo casi nunca soy gay y cuando lo soy que ganas de pegarme puedes creer eso,es,4.262283503,-74.24367099999999,city,Colombia,176566242.0,718887992,6321,False,tu,Tue Jul 21 20:40:02 +0000 2015,ZaynTo15M ,"I ain't gonna never stop lovin zayn, bitchhh"
116,@leidycadena14 @linaaa6 @mariacamiila tú tranquila que aquí felices,es,4.262283503,-74.24367099999999,city,Colombia,378894378.0,251896885,513,False,tu,Tue Jul 21 20:40:20 +0000 2015,"Bogotá, Colombia",Este amor es azul como @MillosFCoficial. Cruelty free. Finanzas y Comercio exterior.
118,tú y tus besos tu sonrisa tus celos tus cachetes tu locura tus abrazos tus caricias tu mirada me encantan @johangarcia96,es,7.063666499,-73.0964135,city,Colombia,,1275138882,84,False,tu,Tue Jul 21 20:41:45 +0000 2015,Colombia,Yo creó que yo en otra vida fui del FBI
121,@baqueroscar canta conmigo hermano dale duro a esa pandereta cree en ti señor no morirá para siempre,es,4.811547,-75.6123815,city,Colombia,365792524.0,1425639174,28571,False,tu,Tue Jul 21 20:43:15 +0000 2015,"Pereira, risaralda",Caricaturista...y alienígena mutante.
151,@luisafernandaw lo que vale es el significado que tenga para ti además es único muy lindo,es,3.3641819969999998,-76.49608,city,Colombia,322233594.0,351128862,273,False,tu,Tue Jul 21 21:01:33 +0000 2015,Colombia,"JUST DO IT. Cali, Colombia ? MTB ? U23 Believe in your dreams!<U+263A><U+FE0F> Instagram: vgarciar1"
152,@luzo es un amor gracias bienvenida tú también,es,6.270882997999999,-75.619213,city,Colombia,88354906.0,106131505,1818,False,tu,Tue Jul 21 21:01:52 +0000 2015,Barranquilla - Medellín. Col.,En defensa permanente del sabor y la queridura en todas sus manifestaciones.
173,no tengo ojos para nadie solo para ti @andersbb16,es,10.95807288,-74.849933,city,Colombia,,3353170773,92,False,tu,Tue Jul 21 21:15:34 +0000 2015,,"Cuenta nueva, Rosario & Carmen 
Anderson Buitrago #30 <U+2606>"
182,@tochy28 yo pensé en algo que solía fumar pero sospecho que tú pensaste en otra cosa porque no tienes cara de eso,es,10.39044865,-75.5496353,city,Colombia,178933780.0,139743047,128,False,tu,Tue Jul 21 21:20:24 +0000 2015,Lejos de la Ciudad Carrusel,Un lector errante de gustos banales y poco interesante. También escribe.
187,@orgulloanahibr mil gracias a ti por siempre ayudarme eres un amor dios te bendiga,es,4.0882915,-73.4704055,city,Colombia,401535963.0,566608022,5840,False,tu,Tue Jul 21 10:25:54 +0000 2015,Colombia,"Twitter dedicado a la actriz, cantante, modelo, compositora y empresaria mexicana Anahi. ¡Anahi me dio RT el 7/05/2015 y me sigue desde el 20/07/2015!<U+2764><U+FE0F>"
