,text,lang,place_lat,place_lon,place_type,country,in_reply_to_user_id_str,user_id_str,followers_count,verified,pronoun,created_at,location,description,ngram
94,te amare te cuidare y estaré contigo hasta que dios me lo permita mi amor,es,4.262283503,-74.24367099999999,city,Colombia,,2312528359,539,False,tu,Tue Jul 21 20:27:24 +0000 2015,"Barranquilla, Atlántico",te amooooooooooo mi bebe att tu novio 26 infinito u2661ricardo celisu 2661 el amor de mi vida el mejor de todos te amo mi niño hermoso siempre juntosu 2661 u2654rau2654 u2661268u2661sfdc,"('de', 'mi', 'vida')"
274,te elegí a ti @elugo91 u2764,es,9.315605496,-75.434214,city,Colombia,,320994793,204,False,tu,Tue Jul 21 19:22:32 +0000 2015,,mi muro es solo un cuaderno de ocurrencias no un reflejo de mis sentimientos o de mi vida personal mucha mas vida que el vino,"('de', 'mi', 'vida')"
357,ay sabesque eres todo para mí que todo lo hago por ti que el amor que por ti siento nunca nunca lo sentíu 266b,es,9.153207002,-75.3566865,city,Colombia,,1219667575,353,False,tu,Wed Jul 22 19:45:12 +0000 2015,,disfrutando cada segundo de mi vida iu2665horse y fiesta brava no todo lo que tuiteo lo siento y no todo lo que siento lo tuiteo daniporsiempreu 2665,"('de', 'mi', 'vida')"
425,un compromiso contigo,es,11.2312007,-72.994963,city,Colombia,,147414776,4422,False,tu,Wed Jul 22 20:16:39 +0000 2015,"Riohacha, La Guajira",contador publico @nacionaloficial @realmadrid @silvestrefdc @brunomars @iggyazalea @ladygaga @selenagomez @arianagrande @darlinespitia el amor de mi vida,"('de', 'mi', 'vida')"
655,oye qué es lo que pasa contigo por qué te robas mi bufanda @pauuluna12,es,4.262283503,-74.24367099999999,city,Colombia,,2781005004,218,False,tu,Wed Jul 22 11:20:10 +0000 2015,Bogotá / Colombia,dios es mi todou 261dufe0f eres lo mejor de mi vida paula castro u2764ufe0f #14 real madrid river plate u26bdufe0f instagram adreamer 14 snapchat danitejeda 1404,"('de', 'mi', 'vida')"
715,lo más precioso es tener ese encuentro contigo dios,es,5.038591498,-74.015434,city,Colombia,,964841862,1322,False,tu,Tue Jul 21 23:04:53 +0000 2015,Zipaquirá - Cundinamarca ,dios quiero enamorarme de ti eres y seras el dueño de mi vida y siempre seras el numero uno en miu 2665 quiero hacer tu voluntad,"('de', 'mi', 'vida')"
1064,otro dia mas sin ti 17,es,4.262283503,-74.24367099999999,city,Colombia,,3387918051,24,False,tu,Thu Jul 23 19:58:18 +0000 2015,,vida de mi vida,"('de', 'mi', 'vida')"
1430,pudo haber sido por mí pudo haber sido por ti pudo haber sido cualquier cosa,es,4.448673,-75.3155775,city,Colombia,,375323345,679,False,tu,Fri Jul 24 20:22:56 +0000 2015,Ibague,vigelina montaña te adoro demasiado manita de mi vida att lmcr,"('de', 'mi', 'vida')"
1482,porque como tú no hay nadie más 17,es,4.448673,-75.3155775,city,Colombia,,838767619,469,False,tu,Fri Jul 24 21:02:56 +0000 2015,,kelly mariana gonzalez u2661te amoo mi princesiitaa hermosa u266124 eres la luz de mi vida mi adoracion mi todo u2665 dios te proteja en todo momentoo u2665 teamomarianau 2665,"('de', 'mi', 'vida')"
1695,abue 100 años vividos fueron mas q suficientes me quedan lindo recuerdos de ti qepd,es,4.262283503,-74.24367099999999,city,Colombia,,434341898,127,False,tu,Sat Jul 25 17:10:59 +0000 2015,"Bogota, Cundimarca ",abogada conlegal abogados apasionada en cada aspecto de mi vida soñadora valiente adicta a sonrreir inclino mi vida en un solo estilo vivir feliz,"('de', 'mi', 'vida')"
